Lemma,Register,Mood,Usage_Category,Full_Sentence
break,TEXTBOOK,,LITERAL,shortly before it. It had been raining hard overnight when Martin walked into the water. I'd been feeling really nervous about my trip. We also use the past perfect continuous to talk about how long something had happened before a particular moment in the past She had been planning the journey for weeks before she set out How long had juliane been walking when she found the boat? Complete sections - using the past perfect continuous. Then match them with A-F. They/wait/ages/bus A but then he broke his arm. We/ look forward/ concert B shortly before the house I/wonder/how/tell/him She/think/give up/job He/train/marathon/ months She/play/matches burnt down. C but it turned outthat he already knew. D then three turned up at the same time. E but it was cancelled at the last minute. F when she was fired. Complete the sentences. Use the verbs in the past perfect continuous or simple. Then use your own
break,TEXTBOOK,,IDIOMATIC,"In most countries, the transition from communism to democracy or independence v/as relatively peaceful. However, in Romania a series of riots and protests spread throughout the country. The Communist Party leader Nicolae Ceausescu was overthrown and executed, but not before over , protesters had been killed. But it v/as in Yugoslavia, due to its ethnically divided population, where the wave of nationalism sweeping Europe had the most violent consequences. In , Slovenia and the Republic of Macedonia gained their independence without too much trouble. But war broke out in Croatia, which became independent in the same year, and it created hundreds of thousands of refugees. In , Bosnia-Herzegovina declared independence, igniting a bloody conflict that was to last for years. And v/hile Montenegro became independent without a struggle in , ethnic tension made it a very different story in Kosovo; bitter fighting went on there for years. An uneasy declaration of independence was made in . How has Europe changed since ? Which countries ... no longer exist? have come into existence since ? are members ofthe"
break,TEXTBOOK,,IDIOMATIC,"aren't people nouns? What part of speech are they? Which words are stressed on the last syllable? Can you form two stress rules related to these words? page U : border crossing : ...->Schengen Agreement/Ukrainians/visa (y Work in pairs. Use the notes from exercise to retell the story in your own words. i ft In pairs, discuss the people words from exercises - . Which are you, or have you ever been? Think of five more people words to describe yourself. break away break out break up get through to go on Match the verbs with the definitions below. startsuddenly (something negative, such as waror fighting) contact or reach a person or place split into different parts continue to do something become separated or escape from Complete the sentences with the verbs in the correct form. War... in this country ever since I can remember. Red Cross supplies were unable... the refugee camps. The USSR... into fourteen separate states in . Thisisn'tthefirsttimethatwar... in that part of the world recently. Slovenia"
break,TEXTBOOK,,IDIOMATIC,"people nouns? What part of speech are they? Which words are stressed on the last syllable? Can you form two stress rules related to these words? page U : border crossing : ...->Schengen Agreement/Ukrainians/visa (y Work in pairs. Use the notes from exercise to retell the story in your own words. i ft In pairs, discuss the people words from exercises - . Which are you, or have you ever been? Think of five more people words to describe yourself. break away break out break up get through to go on Match the verbs with the definitions below. startsuddenly (something negative, such as waror fighting) contact or reach a person or place split into different parts continue to do something become separated or escape from Complete the sentences with the verbs in the correct form. War... in this country ever since I can remember. Red Cross supplies were unable... the refugee camps. The USSR... into fourteen separate states in . Thisisn'tthefirsttimethatwar... in that part of the world recently. Slovenia was the"
break,TEXTBOOK,,IDIOMATIC,"? What part of speech are they? Which words are stressed on the last syllable? Can you form two stress rules related to these words? page U : border crossing : ...->Schengen Agreement/Ukrainians/visa (y Work in pairs. Use the notes from exercise to retell the story in your own words. i ft In pairs, discuss the people words from exercises - . Which are you, or have you ever been? Think of five more people words to describe yourself. break away break out break up get through to go on Match the verbs with the definitions below. startsuddenly (something negative, such as waror fighting) contact or reach a person or place split into different parts continue to do something become separated or escape from Complete the sentences with the verbs in the correct form. War... in this country ever since I can remember. Red Cross supplies were unable... the refugee camps. The USSR... into fourteen separate states in . Thisisn'tthefirsttimethatwar... in that part of the world recently. Slovenia was the firstcountry to"
break,TEXTBOOK,,IDIOMATIC,"multiplication, square roots all in his head almost instantly with the accuracy of a calculator. Now that is ultimate brain power! In , he took on his first Guinness Book of World Records challenge, of which he still holds the record. He had to keep adding the same number, chosen at random, to itself more times in seconds than someone could do with a calculator. He passed the test and the Guinness Book of World Records listed him as the 'Fastest Human Calculator' both in and in , when he broke the record again. American-bom Scott has been fascinated by numbers ever since he was a child. He was nine years old when he first discovered his mental calculation abilities. He had been able to solve his teacher's questions without needing to write down the calculations. calculation abilities. He had been able in a way that wc uestions without needing to write down f and if you find} stimulating and He began noticing different patterns with numbers, which then helped him make links in his brain and subsequently make calculations quicker. Scott has"
break,TEXTBOOK,,IDIOMATIC,"can... A estimate the answers to maths equations extremely quickly. B use a calculators solve any maths equation. C do complex maths calculations without a calculator. D teach maths to anyone. When Flansburg was a child,... A he realized he was smarter than his teachers. B he found a way of doing calculations mentally. C he discovered how useful calculators are. D he noticed something changing in his brain. Due to his amazing skill, Flansburg has... A been on TV to entertain people with his ability. broken a Guinness World Record. C taught others how to be better at maths. D all of the above. Flansburg believes... A everyone should use a calculator. he's the only one who can calculate quickly. C that maths has always been taught badly. D anyone can be good at maths. C LISTENING J Whatdoyou know about the North Pole? Why do you think someone would want to go there? What do you think the challenges and problems might be in undertaking such a venture? Whatcharacteristicsdoyou think would make a"
break,TEXTBOOK,,LITERAL,"some on my way home from school. (we hauen't got any coffee ( I can't go to the party because I hauen't got enough money for the busy I need to get a message to my brother at his school. -------------vt- The guide doesn't speak English, she doesn't understand what I wa, ---------------------NJ- ish,so wanty I m so annoyed! The chain on /•– ---------–--------- .... .. . I / really need something to eat. I my bike has broken again )?------------–-------------' Complete the following sentences, using affirmative and negative forms of will be able to and iuillhaueto. In the future, everyone... carry identity cards containing biometric information. We... travel without new biometric identity cards. Travelling in the European Union will be much easier. We ...show any ID at all. In the future, we... drive a car even if we haven't passed a driving test! People... go abroad unless they have a letter of invitation. The station is closed"
break,TEXTBOOK,,LITERAL,"the guard dog. We opened the gate. Long ago In a village In China, there lived a farmer. One day, his horse ran away. All the villagers said 'How terrible!' But the farmer just said 'Maybe, maybe not.' Eventually, the horse came back, bringing two wild horses with IL All the villagers said 'How wonderful!' But the farmer just said 'Maybe, maybe not.' The farmer's son tried to ride one of the horses but he fell off and broke his leg. All the villagers said 'How terrible!' But the farmer just said 'Maybe, maybe not.' One day, the army came to the village to find young men to fighL The farmer's son couldn't go because of his broken leg. All the villagers said 'How wonderful!' But the farmer just said 'Maybe, maybe not' Read this traditional Chinese story. Discuss it in pairs. What do you think the meaning of it is? Write three conditional sentences based on the story"
break,TEXTBOOK,,LITERAL,".' Eventually, the horse came back, bringing two wild horses with IL All the villagers said 'How wonderful!' But the farmer just said 'Maybe, maybe not.' The farmer's son tried to ride one of the horses but he fell off and broke his leg. All the villagers said 'How terrible!' But the farmer just said 'Maybe, maybe not.' One day, the army came to the village to find young men to fighL The farmer's son couldn't go because of his broken leg. All the villagers said 'How wonderful!' But the farmer just said 'Maybe, maybe not' Read this traditional Chinese story. Discuss it in pairs. What do you think the meaning of it is? Write three conditional sentences based on the story in exercise . If the farmer's horse hadn't run away, it wouldn't haue come back with two wild horses Rfc What do you think happened next? Write one more part of the story. Then compare with a partner. More practice If you could"
