Lemma,Register,Mood,Usage_Category,Full_Sentence
break,LOW,Statement,LITERAL,My old phone is definitely going to break soon if I drop it again.
break,LOW,Statement,IDIOMATIC,"Don't break the news to her yet, she's had a rough day already."
break,LOW,Statement,IDIOMATIC,"He's trying to break into the music scene, it's really tough."
break,LOW,Statement,IDIOMATIC,"I heard they're going to break up next month, which is a bummer."
break,NEUTRAL,Imperative,LITERAL,Break the glass in case of emergency.
break,NEUTRAL,Imperative,IDIOMATIC,Do not break the rules of the library.
break,NEUTRAL,Imperative,LITERAL,Break the seal on the container firmly.
break,NEUTRAL,Imperative,LITERAL,"Always remember to break gradually, not suddenly."
break,NEUTRAL,Imperative,LITERAL,Break the circuit by turning off the main switch.
break,NEUTRAL,Imperative,IDIOMATIC,Do not break the flow of traffic.
break,NEUTRAL,Imperative,IDIOMATIC,Break the code to access the hidden file.
break,NEUTRAL,Imperative,IDIOMATIC,Stop at the next sign; do not break the speed limit.
break,HIGH,Question,IDIOMATIC,Could you clarify if this proposal might break any established departmental guidelines?
break,HIGH,Question,IDIOMATIC,"Is it permissible to break for lunch at an alternative time today, if required?"
break,HIGH,Question,IDIOMATIC,Might this strategy potentially break our competitive advantage in the market?
break,HIGH,Question,IDIOMATIC,Could you advise when it would be appropriate to break the news of the leadership change?
break,LOW,Statement,LITERAL,"Oh no, I accidentally broke the remote control!"
break,LOW,Statement,IDIOMATIC,They just announced that Sarah and Mark decided to break up.
break,LOW,Statement,IDIOMATIC,"He promised he'd help, but then he totally broke his word."
break,LOW,Statement,IDIOMATIC,My old car seems to break down every other week now.
break,LOW,Statement,IDIOMATIC,Don't break the news to mom yet; it's a surprise.
break,NEUTRAL,Imperative,LITERAL,Break the security seal before you open the package.
break,NEUTRAL,Imperative,IDIOMATIC,Do not break the rules of the library under any circumstances.
break,NEUTRAL,Imperative,LITERAL,Break the chocolate bar into squares for sharing.
break,NEUTRAL,Imperative,IDIOMATIC,Remember to break for a 15-minute rest every two hours.
break,NEUTRAL,Imperative,LITERAL,"In an emergency, break the glass to access the alarm."
break,NEUTRAL,Imperative,IDIOMATIC,Please break down the long document into three main sections.
break,NEUTRAL,Imperative,IDIOMATIC,Try to break your habit of checking your phone constantly.
break,NEUTRAL,Imperative,IDIOMATIC,Follow the path and then break left at the main junction.
break,NEUTRAL,Imperative,IDIOMATIC,Never break the line when waiting for your turn.
break,HIGH,Question,IDIOMATIC,Might this decision potentially break the existing company guidelines?
break,LOW,Statement,IDIOMATIC,They decided to break up after their big argument last week.
break,LOW,Statement,IDIOMATIC,I'm going to break the news about the party to him later.
break,LOW,Statement,IDIOMATIC,We should try to break the ice with the new neighbors tonight.
break,LOW,Statement,IDIOMATIC,My old computer finally broke down completely yesterday.
break,NEUTRAL,Imperative,IDIOMATIC,Do not break the rules of the swimming pool.
break,NEUTRAL,Imperative,LITERAL,Break the bread into small pieces for the soup.
break,NEUTRAL,Imperative,LITERAL,Break the seal on the package carefully before opening.
break,NEUTRAL,Imperative,IDIOMATIC,Always break down complex problems into simple steps.
break,NEUTRAL,Imperative,IDIOMATIC,"If you need help, break away from the main group."
break,NEUTRAL,Imperative,IDIOMATIC,Do not break the concentration of other students during class.
break,NEUTRAL,Imperative,IDIOMATIC,Break the habit of checking your phone constantly.
break,LOW,Statement,LITERAL,My old skateboard finally broke in half after that jump.
break,LOW,Statement,IDIOMATIC,They decided to break up because they wanted different things.
break,LOW,Statement,IDIOMATIC,"Don't worry, we'll probably just break even on our vacation budget."
break,NEUTRAL,Imperative,LITERAL,Do not break the seal on the package until payment is made.
break,NEUTRAL,Imperative,LITERAL,Break the chocolate bar into individual squares before serving.
break,NEUTRAL,Imperative,IDIOMATIC,Never break the queue; always wait your turn patiently.
break,NEUTRAL,Imperative,LITERAL,Break the glass in case of emergency to access the alarm.
break,NEUTRAL,Imperative,IDIOMATIC,Try to break that bad habit of procrastinating on assignments.
break,NEUTRAL,Imperative,IDIOMATIC,"To continue, break the connection with the old Wi-Fi network."
break,NEUTRAL,Imperative,IDIOMATIC,Break away from the main group and follow the signs for exit C.
break,NEUTRAL,Imperative,IDIOMATIC,Do not break the speed limit on this road under any circumstances.
break,HIGH,Question,IDIOMATIC,"Regarding the project timeline, might we need to break down the next phase into smaller tasks?"
break,HIGH,Question,IDIOMATIC,Have you identified any potential issues that could break the functionality of the new software?
break,HIGH,Question,IDIOMATIC,Could you clarify if we are permitted to break from the standard protocol in this specific situation?
break,HIGH,Question,IDIOMATIC,Do you anticipate that this new policy might break any existing agreements?
break,HIGH,Question,IDIOMATIC,Are there any regulations we must be careful not to break when implementing this change?
break,HIGH,Question,IDIOMATIC,Will the upcoming holiday break impact the delivery schedule significantly?
break,HIGH,Question,IDIOMATIC,"To ensure clarity, should we break the report into several distinct sections?"
break,LOW,Statement,IDIOMATIC,Did you hear that Mark and Sarah had to break up? It's a shame.
break,LOW,Statement,IDIOMATIC,My old car always seems to break down at the worst times.
break,LOW,Statement,IDIOMATIC,I gotta break the news to my parents about the party later.
break,LOW,Statement,IDIOMATIC,"He's trying to break into the music scene, it's really tough."
break,NEUTRAL,Imperative,LITERAL,Do not break the seal on the package until instructed.
break,NEUTRAL,Imperative,LITERAL,Break the chocolate bar into individual squares before serving.
break,NEUTRAL,Imperative,LITERAL,Always break when approaching a pedestrian crossing.
break,NEUTRAL,Imperative,LITERAL,Do not break line while waiting for entry.
break,NEUTRAL,Imperative,LITERAL,Break your journey at the next service station if you are tired.
break,NEUTRAL,Imperative,IDIOMATIC,Ensure you do not break any local parking regulations.
break,NEUTRAL,Imperative,LITERAL,Please break down the larger cartons for recycling.
break,NEUTRAL,Imperative,LITERAL,Remember to break your fall if you trip on the stairs.
drop,HIGH,Question,IDIOMATIC,Could we consider dropping the less effective features from the next update?
drop,HIGH,Question,IDIOMATIC,Would it be possible for you to drop off the revised report by end of day?
drop,HIGH,Question,IDIOMATIC,Might we need to drop the current strategy if it proves unsustainable?
drop,HIGH,Question,IDIOMATIC,Are there any concerns that our market share could drop further?
drop,HIGH,Question,IDIOMATIC,Is it advisable to drop the less profitable product lines from our portfolio?
drop,HIGH,Question,LITERAL,Can you ensure the package is handled with care so it doesn't drop?
drop,LOW,Statement,LITERAL,"Oops, I accidentally dropped my phone again!"
drop,LOW,Statement,IDIOMATIC,Can you drop me off at the corner store on your way?
drop,LOW,Statement,IDIOMATIC,He just dropped a huge surprise on us at dinner last night.
drop,LOW,Statement,IDIOMATIC,My friend said she's going to drop out of the club next year.
drop,LOW,Statement,IDIOMATIC,"The DJ is about to drop a new track, it's gonna be awesome!"
drop,LOW,Statement,IDIOMATIC,I really need to drop a few pounds before my vacation next month.
drop,LOW,Statement,IDIOMATIC,I heard they're going to drop the prices on those shoes next week.
drop,LOW,Statement,IDIOMATIC,"Don't drop any hints about the party, it's still a secret!"
drop,NEUTRAL,Imperative,IDIOMATIC,Please drop off your keys at the reception desk upon departure.
drop,NEUTRAL,Imperative,LITERAL,Drop your weapon and put your hands up.
drop,NEUTRAL,Imperative,LITERAL,Drop your shoulders and breathe deeply to relax.
drop,HIGH,Question,IDIOMATIC,Would it be possible to drop this specific item from our discussion for today?
drop,HIGH,Question,IDIOMATIC,Should we consider dropping the less popular product line next quarter?
drop,HIGH,Question,IDIOMATIC,Could you confirm if the presentation slides were dropped into the shared drive?
drop,HIGH,Question,LITERAL,Do you believe we should drop the proposed budget by ten percent?
drop,HIGH,Question,IDIOMATIC,Might we need to drop the initial project deadline if resources are constrained?
drop,HIGH,Question,IDIOMATIC,Is it advisable to drop the current approach and explore alternative methods?
drop,HIGH,Question,IDIOMATIC,Has the department decided to drop its involvement in the charity event?
drop,HIGH,Question,IDIOMATIC,Are we able to drop any redundant clauses from the new policy document?
drop,HIGH,Question,IDIOMATIC,Does the system automatically drop inactive user accounts after a specific period?
drop,LOW,Statement,IDIOMATIC,Did you hear that band just dropped a surprise new song?
drop,LOW,Statement,IDIOMATIC,"Dude, I totally dropped the ball on reminding him about the party."
drop,LOW,Statement,LITERAL,"Don't drop that pizza, it's the last slice!"
drop,LOW,Statement,IDIOMATIC,She keeps dropping hints about wanting a new phone for her birthday.
drop,LOW,Statement,IDIOMATIC,I need to drop off my dry cleaning before the store closes.
drop,LOW,Statement,IDIOMATIC,"Just drop me a text when you're on your way, okay?"
drop,LOW,Statement,LITERAL,He accidentally dropped his keys right into a puddle.
drop,LOW,Statement,LITERAL,I heard they're going to drop the prices on those shoes next week.
drop,NEUTRAL,Imperative,LITERAL,Do not drop any personal belongings in the restricted area.
drop,NEUTRAL,Imperative,LITERAL,Drop your completed forms at the customer service desk.
drop,NEUTRAL,Imperative,LITERAL,Carefully drop the component into its slot.
drop,NEUTRAL,Imperative,LITERAL,Drop the volume on the speaker before connecting.
drop,HIGH,Question,IDIOMATIC,Might we need to drop several items from the agenda to ensure timely completion?
drop,HIGH,Question,IDIOMATIC,Do you foresee any issues if we decide to drop the original proposal?
drop,HIGH,Question,IDIOMATIC,Could you confirm if the courier will drop off the essential documents this afternoon?
drop,HIGH,Question,IDIOMATIC,Is it permissible for us to drop the less critical tasks for today?
drop,HIGH,Question,IDIOMATIC,Should we anticipate the stock prices will drop significantly by next month?
drop,HIGH,Question,IDIOMATIC,Would it be wise to drop the current marketing strategy in favor of a new one?
drop,HIGH,Question,IDIOMATIC,Has the manager authorized us to drop the redundant steps in the process?
drop,HIGH,Question,IDIOMATIC,Are there any concerns about the product quality starting to drop?
drop,HIGH,Question,IDIOMATIC,Could we arrange for you to drop the access key with reception on your way out?
drop,HIGH,Question,IDIOMATIC,Is it necessary to drop the meeting attendance requirement for some staff?
drop,LOW,Statement,LITERAL,"I totally dropped my sandwich on the floor just now, it was a total mess."
drop,LOW,Statement,IDIOMATIC,She said she'd drop by your party later if she had enough time.
drop,LOW,Statement,IDIOMATIC,He just dropped a bombshell about quitting his job and traveling the world.
drop,LOW,Statement,IDIOMATIC,I think I'll drop that art class; it's honestly not really my thing.
drop,LOW,Statement,IDIOMATIC,That new game studio just dropped a huge update for their app last night.
drop,LOW,Statement,IDIOMATIC,"I'm so tired, I nearly dropped off during the movie, it was so long."
drop,LOW,Statement,IDIOMATIC,My brother always tries to drop a hint when his birthday is coming up soon.
drop,LOW,Statement,IDIOMATIC,Can you believe he just dropped his mic after that amazing performance?
drop,LOW,Statement,IDIOMATIC,"I'll drop off your book sometime next week when I'm in your neighborhood, no worries."
drop,NEUTRAL,Imperative,LITERAL,"Drop your completed forms into the box on the counter, please."
drop,NEUTRAL,Imperative,IDIOMATIC,Please drop off the package at the main reception desk before noon.
drop,NEUTRAL,Imperative,LITERAL,Don't drop the glass! It's very fragile and expensive.
drop,NEUTRAL,Imperative,LITERAL,"Drop your speed as you enter the residential area, children are playing."
drop,NEUTRAL,Imperative,LITERAL,Carefully drop the seeds into each small hole in the garden bed.
drop,NEUTRAL,Imperative,LITERAL,Drop your shoulders and try to relax your posture.
drop,NEUTRAL,Imperative,IDIOMATIC,Remember to drop off your library books by Friday to avoid late fees.
