ID,Lemma,Human_Label,Full_Sentence
1,run,LITERAL,": I hurried out and followed Lord Hewston upstairs to the office, but he didn't let me see inside. He told me that there was a dead body on the floor and then he locked the room. INSPECTOR HARRISON: Well, Jarvis, that's enough for today, thank you. MARC GARNEAU: When you're down on earth, you live in a world that... that you can see, that surrounds you. That's, maybe, a ten-kilometer circle. When you're up in space, you see a thousand kilometers ahead of you: your sense of time is changed, it takes you an hour and a half to go round the planet. You see this incredibly thin atmosphere that allows life to occur down here, against the backdrop of... of the vast emptiness of space and that is what transforms you because you suddenly realize ""This is my home"" in a way that... you never think of it when you're down on earth... and you know what? We need to take care of it because it"
2,make,IDIOMATIC,"(Sarah told him.) We can use / wish and if only with would when we want something to change. I wish he wouldn't text me so often. I wish eueryone would stop staring at me. If only they would go away. You cannot use / wish I would. I wish I didn't bite my nails, my-neds. Rewrite the sentences using wish. In formal styles, we can start third conditional phrases with had. rather than if. Had I known thatyesterday, it would haue made a big difference. (OR If I'd known _.) Had she not opened that letter, she would neuer haue found out. (OR If she hadn't._) Invert the sentences and complete them with your own ideas. Ifthe government had done what it promised,.... Had the gouernment done what it promised, rail fares would not haue gone up. If I'd known it would be so difficult. If I hadn't eaten so much ice cream,.... If he hadn't been so scared"
3,make,IDIOMATIC,"of these children feel that, because all their friends are in gangs, they should be too. If we can show these children that there are other options, we hope they won't be persuaded to join the gangs. We've been experimenting with the scheme for six months in the London area and the results are very encouraging. We will probably be taking the idea to other cities throughout the UK next year. If we are successful, then we will see fewer young children turning to crime and these neighbourhoods will be made safer for everyone. Read the article again and listen. Answer the questions. What do new crime figures show? What areas are most hit by gang crime? How does Paddy's scheme work? What sort of things do the police mentors do with the children and why? Why is the scheme for such young children? What future plans does Paddy have? Present perfect and future passives Complete the sentences with the words in the box. have given will be taken will spend will be helped will apologise has been chosen has been"
4,see,IDIOMATIC,Please see the receptionist for your visitor's pass upon arrival.
5,look,IDIOMATIC,Look out for falling rocks when hiking in this mountainous area.
6,see,IDIOMATIC,Could you see to it that all attendees receive the agenda promptly?
7,look,IDIOMATIC,"sacred ['seikrid] = a place with a special religious meaning • root [ru:t] = the underground part of a plant/tree • dot [dot] = a little point • shield [Ji:ld] = sth used for protection in battle (a long time ago) twenty-seven CM Check-in Language Skills (Revision) Language Talkwise Text Wordwise Unit What next? Not sure what job you would like to do? Can't decide which is right for you? Our tip is: don't just look at school subjects, think about free-time activities, too. Make your hobby into your job! Here is what three interesting people say about their jobs: I've always been interested in construction, and I think my job is useful, too, because we need to improve our railway system. So I'm a railway engineer. You see, you can forget about stereotypes when you choose a career! When I was studying History, I never dreamt I'd later join the police. I like the fact that no two"
8,turn,IDIOMATIC,"I'm so tired, I'm going to turn in really early tonight."
9,look,IDIOMATIC,"This weather looks like it's going to clear up later, thankfully."
10,make,NONE,"Meister/in I sich auf etwas freuen ii look happy gend V ( ) match [mstJ]: glücklich aussehen I look into sth. make [meik], made, made: machen; . Spiel, Wettkampf, Match I etwas untersuchen, prüfen III Look herstellen I ° make a comment sich ° . match sth. (to sth.) etwas (zu out! Achtung! Aufgepasst! iii look out äußern, einen Kommentar abgeben etwas) zuordnen for sb./sth. nach jm./etwas Ausschau make a wish sich etwas wünschen i ° . match sth. sich mit etwas messen; halten iv look sth. up etwas nach- make friends Freunde finden I make an etwas herankommen schlagen iii look up hochsehen, auf- fun of sb./sth. sich über jn./etwas lus- match [mstJ] zusammen passen V ( ) schauen ii tig machen iii make sb. do sth. jn. matching ['mstJig] passende(r, s) . have a look nachschauen have a dazu bringen,"
