ID,Usage_Category
1,LITERAL
2,IDIOMATIC
3,LITERAL
4,IDIOMATIC
5,IDIOMATIC
6,IDIOMATIC
7,IDIOMATIC
8,IDIOMATIC
9,IDIOMATIC
10,LITERAL
11,LITERAL
12,IDIOMATIC
13,IDIOMATIC
14,LITERAL
15,IDIOMATIC
16,IDIOMATIC
17,LITERAL
18,IDIOMATIC
19,IDIOMATIC
20,IDIOMATIC
21,IDIOMATIC
22,LITERAL
23,IDIOMATIC
24,LITERAL
25,LITERAL
26,IDIOMATIC
27,LITERAL
28,LITERAL
29,IDIOMATIC
30,IDIOMATIC
31,IDIOMATIC
32,LITERAL
33,LITERAL
34,IDIOMATIC
35,IDIOMATIC
36,IDIOMATIC
37,IDIOMATIC
38,IDIOMATIC
39,IDIOMATIC
40,IDIOMATIC
41,LITERAL
42,IDIOMATIC
43,IDIOMATIC
44,LITERAL
45,LITERAL
46,LITERAL
47,IDIOMATIC
48,LITERAL
49,IDIOMATIC
50,IDIOMATIC
51,LITERAL
52,LITERAL
53,LITERAL
54,LITERAL
55,IDIOMATIC
56,IDIOMATIC
57,IDIOMATIC
58,LITERAL
59,IDIOMATIC
60,LITERAL
61,IDIOMATIC
62,LITERAL
63,IDIOMATIC
64,IDIOMATIC
65,LITERAL
66,IDIOMATIC
67,IDIOMATIC
68,LITERAL
69,LITERAL
70,IDIOMATIC
71,LITERAL
72,IDIOMATIC
73,LITERAL
74,LITERAL
75,IDIOMATIC
76,IDIOMATIC
77,IDIOMATIC
78,IDIOMATIC
79,IDIOMATIC
80,IDIOMATIC
81,LITERAL
82,LITERAL
83,LITERAL
84,LITERAL
85,LITERAL
86,LITERAL
87,IDIOMATIC
88,IDIOMATIC
89,IDIOMATIC
90,IDIOMATIC
91,LITERAL
92,IDIOMATIC
93,IDIOMATIC
94,LITERAL
95,IDIOMATIC
96,LITERAL
97,LITERAL
98,IDIOMATIC
99,LITERAL
100,IDIOMATIC
101,LITERAL
102,IDIOMATIC
103,LITERAL
104,IDIOMATIC
105,LITERAL
106,IDIOMATIC
107,IDIOMATIC
108,IDIOMATIC
109,LITERAL
110,LITERAL
111,IDIOMATIC
112,LITERAL
113,IDIOMATIC
114,IDIOMATIC
115,LITERAL
116,LITERAL
117,IDIOMATIC
118,LITERAL
119,IDIOMATIC
120,IDIOMATIC
121,LITERAL
122,LITERAL
123,IDIOMATIC
124,IDIOMATIC
125,LITERAL
126,LITERAL
127,LITERAL
128,LITERAL
129,LITERAL
130,IDIOMATIC
131,LITERAL
132,IDIOMATIC
133,LITERAL
134,LITERAL
135,IDIOMATIC
136,IDIOMATIC
137,LITERAL
138,IDIOMATIC
139,IDIOMATIC
140,LITERAL
141,IDIOMATIC
142,IDIOMATIC
143,LITERAL
144,LITERAL
145,IDIOMATIC
146,LITERAL
147,LITERAL
148,LITERAL
149,LITERAL
150,LITERAL
151,IDIOMATIC
152,IDIOMATIC
153,LITERAL
154,IDIOMATIC
155,IDIOMATIC
156,LITERAL
157,IDIOMATIC
158,IDIOMATIC
159,IDIOMATIC
160,IDIOMATIC
161,IDIOMATIC
162,IDIOMATIC
163,IDIOMATIC
164,IDIOMATIC
165,LITERAL
166,IDIOMATIC
167,LITERAL
168,IDIOMATIC
169,IDIOMATIC
170,IDIOMATIC
171,IDIOMATIC
172,IDIOMATIC
173,IDIOMATIC
174,IDIOMATIC
175,IDIOMATIC
176,IDIOMATIC
177,IDIOMATIC
178,IDIOMATIC
179,IDIOMATIC
180,LITERAL
181,LITERAL
182,IDIOMATIC
183,LITERAL
184,IDIOMATIC
185,IDIOMATIC
186,IDIOMATIC
187,LITERAL
188,LITERAL
189,LITERAL
190,LITERAL
191,IDIOMATIC
192,LITERAL
193,LITERAL
194,LITERAL
195,LITERAL
196,IDIOMATIC
197,IDIOMATIC
198,IDIOMATIC
199,IDIOMATIC
200,IDIOMATIC
